必要揚程[m],密度[kg/m3],流量[kg/s],ポンプ回転数[RPM],ポンプ入口圧力[MPaA],"ポンプ
体積効率[-]","ポンプ
効率[-]",ポンプ段数[-],シャフト直径[m]
650,1143,13.4,12000,0.5,0.95,0.6,1,0.025
650,1143,13.4,14000,0.5,0.95,0.6,1,0.025
650,1143,13.4,16000,0.5,0.95,0.6,1,0.025
650,1143,13.4,18000,0.5,0.95,0.6,1,0.025
650,1143,13.4,20000,0.5,0.95,0.6,1,0.025
650,1143,13.4,22000,0.5,0.95,0.6,1,0.025
650,1143,13.4,24000,0.5,0.95,0.6,1,0.025
650,1143,13.4,26000,0.5,0.95,0.6,1,0.025
650,1143,13.4,28000,0.5,0.95,0.6,1,0.025
650,1143,13.4,30000,0.5,0.95,0.6,1,0.025
650,1143,13.4,32000,0.5,0.95,0.6,1,0.025
650,1143,13.4,34000,0.5,0.95,0.6,1,0.025
650,1143,13.4,36000,0.5,0.95,0.6,1,0.025
650,1143,13.4,38000,0.5,0.95,0.6,1,0.025
650,1143,13.4,40000,0.5,0.95,0.6,1,0.025
650,1143,13.4,42000,0.5,0.95,0.6,1,0.025
